21	3.897
14	3.885
28	3.778
22	2.54
21	3.028
31	3.865
32	2.962
27	3.961
29	0.5
26	3.178
24	3.31
30	3.538
24	3.083
24	3.013
33	3.245
27	2.963
25	3.522
31	3.013
25	2.947
20	2.118
24	2.563
21	3.357
28	3.731
27	3.925
28	3.556
26	3.101
28	2.42
22	2.579
26	3.871
21	3.06
25	3.927
16	2.375
28	2.929
26	3.375
22	2.857
24	3.072
21	3.381
30	3.29
27	3.549
26	3.646
26	2.978
30	2.654
24	2.54
26	2.25
29	2.069
24	2.617
31	2.183
15	2
19	2.952
18	3.806
27	2.871
16	3.352
27	3.305
26	2.952
24	3.547
30	3.691
21	3.16
20	2.194
30	3.323
29	3.936
25	2.922
23	2.716
25	3.37
23	3.606
30	2.642
21	2.452
24	2.655
32	3.714
18	1.806
23	3.516
20	3.039
23	2.966
18	2.482
18	2.7
29	3.92
20	2.834
23	3.222
26	3.084
28	4
34	3.511
20	3.323
20	3.072
26	2.079
32	3.875
25	3.208
27	2.92
27	3.345
29	3.956
19	3.808
21	2.506
24	3.886
27	2.183
25	3.429
18	3.024
29	3.75
24	3.833
27	3.113
21	2.875
19	2.747
18	2.311
25	1.841
18	1.583
20	2.879
32	3.591
24	2.914
35	3.716
25	2.8
28	3.621
28	3.792
25	2.867
22	3.419
30	3.6
20	2.394
20	2.286
31	1.486
20	3.885
29	3.8
28	3.914
16	1.86
28	2.948
